episode,category,puzzle_front,puzzle_back
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Wading birds,YS TRC TC HR,OYSTERCATCHER
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Wading birds,VCT,AVOCET
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Wading birds,BS,IBIS
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Wading birds,RN GDP LVR,RINGED PLOVER
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Booker Prize-winning novels,T HG HS TRD,THE GHOST ROAD
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Booker Prize-winning novels,LFFP,LIFE OF PI
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Booker Prize-winning novels,S CRN DLCN D,OSCAR AND LUCINDA
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Booker Prize-winning novels,VR NNGDLT TL,VERNON GOD LITTLE
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Proverbs about money,VR YMNH SHSP RC,EVERY MAN HAS HIS PRICE
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Proverbs about money,FLN DHSM NYRS NPR TD,A FOOL AND HIS MONEY ARE SOON PARTED
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Proverbs about money,RSN GTDLF TSL LBT S,A RISING TIDE LIFTS ALL BOATS
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Proverbs about money,T HRSNSC HT HN GSF RLN CH,THERE&#039;S NO SUCH THING AS A FREE LUNCH
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Famous Westerns,RG RN D,RIO GRANDE
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Famous Westerns,NCP NT MNT HWS T,ONCE UPON A TIME IN THE WEST
https://ocdb.cc/episode/crossworders-v-birkbeck-alumni/,Famous Westerns,FR TPC H,FORT APACHE
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Soups and stews,BL LBS S,BOUILLABAISSE
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Soups and stews,CR RTN DCRN DR,CARROT AND CORIANDER
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Soups and stews,C RBBS Q,CRAB BISQUE
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Soups and stews,CP PN,CIOPPINO
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Terms in mechanical physics,LS TCCL LSN,ELASTIC COLLISION
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Terms in mechanical physics,NR T,INERTIA
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Terms in mechanical physics,PTN TLNR GY,POTENTIAL ENERGY
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Terms in mechanical physics,C CLR TN,ACCELERATION
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Quotations from US Presidents,TC NFLL LT HPP LSMFT HTM,YOU CAN FOOL ALL THE PEOPLE SOME OF THE TIME
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Quotations from US Presidents,C HBN NBR LNR,ICH BIN EIN BERLINER
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Quotations from US Presidents,T HRCNBNW HTWS HTT HW HTHS,THERE CAN BE NO WHITEWASH AT THE WHITE HOUSE
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Quotations from US Presidents,DD NTHVS XLR LTN S,I DID NOT HAVE SEXUAL RELATIONS
https://ocdb.cc/episode/county-councillors-v-ombudsmen/,Tiebreaker,LBR TNS TN,ALBERT EINSTEIN
https://ocdb.cc/episode/science-writers-v-travel-writers/,Famous TV Newsreaders,SLW LY,SUE LAWLEY
https://ocdb.cc/episode/science-writers-v-travel-writers/,Famous TV Newsreaders,GR GLGH,GEORGE ALAGIAH
https://ocdb.cc/episode/science-writers-v-travel-writers/,Famous TV Newsreaders,MRS TRT,MOIRA STUART
https://ocdb.cc/episode/science-writers-v-travel-writers/,Famous TV Newsreaders,RBR TDGLL,ROBERT DOUGALL
https://ocdb.cc/episode/science-writers-v-travel-writers/,Beethoven piano sonatas,PT HTQ,PATHÉTIQUE
https://ocdb.cc/episode/science-writers-v-travel-writers/,Beethoven piano sonatas,PP SS NT,APPASSIONATA
https://ocdb.cc/episode/science-writers-v-travel-writers/,Beethoven piano sonatas,HM MRKL VR,HAMMERKLAVIER
https://ocdb.cc/episode/science-writers-v-travel-writers/,Beethoven piano sonatas,WL DSTN,WALDSTEIN
https://ocdb.cc/episode/science-writers-v-travel-writers/,Varieties of potato,DSR,DESIRÉE
https://ocdb.cc/episode/science-writers-v-travel-writers/,Varieties of potato,RDPN TC,RED PONTIAC
https://ocdb.cc/episode/science-writers-v-travel-writers/,Varieties of potato,S TM,ESTIMA
https://ocdb.cc/episode/science-writers-v-travel-writers/,Varieties of potato,MR SPP R,MARIS PIPER
https://ocdb.cc/episode/science-writers-v-travel-writers/,Mike Leigh films,CR RGR LS,CAREER GIRLS
https://ocdb.cc/episode/science-writers-v-travel-writers/,Mike Leigh films,VRD RK,VERA DRAKE
https://ocdb.cc/episode/science-writers-v-travel-writers/,Mike Leigh films,L LRNT HN G,ALL OR NOTHING
https://ocdb.cc/episode/science-writers-v-travel-writers/,Mike Leigh films,LFSS WT,LIFE IS SWEET
https://ocdb.cc/episode/science-writers-v-travel-writers/,Major rivers of the World,NDS,INDUS
https://ocdb.cc/episode/science-writers-v-travel-writers/,Major rivers of the World,RN C,ORINOCO
https://ocdb.cc/episode/science-writers-v-travel-writers/,Major rivers of the World,SN,SEINE
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Shakespearean opening lines,W HNS HL LWT HRM TGN,WHEN SHALL WE THREE MEET AGAIN
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Shakespearean opening lines,FMS CBT HFDFLVP LYN,"IF MUSIC BE THE FOOD OF LOVE, PLAY ON"
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Shakespearean opening lines,NWST HWN TRFRDS CNTN T,NOW IS THE WINTER OF OUR DISCONTENT
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Shakespearean opening lines,NWFRH PPL YTRNP TLHR,"NOW, FAIR HIPPOLYTA, OUR NUPTIAL HOUR"
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Meteorological terms,RPL LTN,AIR POLLUTION
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Meteorological terms,ST HR M,ISOTHERM
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Meteorological terms,T MSP HRCP RS SR,ATMOSPHERIC PRESSURE
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Meteorological terms,MS TR,MOISTURE
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Caribbean islands,N TG,ANTIGUA
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Caribbean islands,PR TRC,PUERTO RICO
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Caribbean islands,RB,ARUBA
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Caribbean islands,HT,HAITI
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Latin legal phrases,CV TM PTR,CAVEAT EMPTOR
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Latin legal phrases,NLCP RN TS,IN LOCO PARENTIS
https://ocdb.cc/episode/edinburgh-scrabblers-v-solent-scrabblers/,Latin legal phrases,PR SNN NG RT,PERSONA NON GRATA
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Native British trees,SC TS PN,SCOTS PINE
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Native British trees,C RBP PL,CRAB APPLE
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Native British trees,FL DMP L,FIELD MAPLE
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Native British trees,S PN,ASPEN
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Dickens quotations,LV RT WS THSS KDF RMR,OLIVER TWIST HAS ASKED FOR MORE
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Dickens quotations,TSF RFRBT TRT HN GT HTD,IT IS A FAR FAR BETTER THING THAT I DO
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Dickens quotations,MT HG HS TFC HRS T MSPS T,I AM THE GHOST OF CHRISTMAS PAST
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Dickens quotations,NTTP TTFN PN TNT,NOT TO PUT TO FINE A POINT ON IT
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Film musicals,SN GNNT HRN,SINGIN&#039; IN THE RAIN
https://ocdb.cc/episode/urban-cyclists-v-country-walkers/,Film musicals,K LHM,OKLAHOMA
https://ocdb.cc/episode/bankers-v-bookkeepers/,Dog breeds,PN TR,POINTER
https://ocdb.cc/episode/bankers-v-bookkeepers/,Dog breeds,FG HNHN D,AFGHAN HOUND
https://ocdb.cc/episode/bankers-v-bookkeepers/,Dog breeds,RS HTR RR,IRISH TERRIER
https://ocdb.cc/episode/bankers-v-bookkeepers/,Dog breeds,L DN GLS HS HPDG,OLD ENGLISH SHEEPDOG
https://ocdb.cc/episode/bankers-v-bookkeepers/,Furniture designers,RNJCB SN,ARNE JACOBSEN
https://ocdb.cc/episode/bankers-v-bookkeepers/,Furniture designers,LNG RY,EILEEN GRAY
https://ocdb.cc/episode/bankers-v-bookkeepers/,Furniture designers,LCR BSR,LE CORBUSIER
https://ocdb.cc/episode/bankers-v-bookkeepers/,Furniture designers,MR CLB RR,MARCEL BREUER
https://ocdb.cc/episode/bankers-v-bookkeepers/,Winston Churchill quotations,T HSWST HRFNS THR,THIS WAS THEIR FINEST HOUR
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Explorers,RL DMN DSN,ROALD AMUNDSEN
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Explorers,SRR NLP HFN NS,SIR RANULPH FIENNES
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Explorers,VS CDGM,VASCO DA GAMA
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Explorers,MR GVS PC C,AMERIGO VESPUCCI
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Chemicals used at home,CS TCSD,CAUSTIC SODA
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Chemicals used at home,P SMSL TS,EPSOM SALTS
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Chemicals used at home,TR PN TN,TURPENTINE
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Chemicals used at home,LFWN TRG RN,OIL OF WINTERGREEN
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Beef dishes,BR GG NN,BOURGUIGNON
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Beef dishes,ST KPV R,STEAK AU POIVRE
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Beef dishes,BF ND LP,BEEF AND ALE PIE
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Beef dishes,C HL LCNCR N,CHILLI CON CARNE
https://ocdb.cc/episode/cricket-supporters-v-it-supporters/,Percy Bysshe Shelley poems,DTT HWS TWN D,ODE TO THE WEST WIND
